PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,YEAR
Dikembe Mutombo,NYK,38,7-2,265,Georgetown,Congo,1991,1,4,65,5.6,6.7,0.4,-1.2,10.20%,19.10%,12.20%,52.30%,2.60%,2003
Dion Glover,TOR,25,6-5,225,Georgia Tech,USA,1999,1,20,69,9,3.9,1.9,-3.7,3.60%,12.50%,20.80%,47.10%,13.80%,2003
Dirk Nowitzki,DAL,26,7-0,245,None,Germany,1998,1,9,77,21.8,8.7,2.7,6.7,3.00%,19.90%,24.20%,56.10%,11.00%,2003
Donnell Harvey,PHX,23,6-8,220,Florida,USA,2000,1,22,60,4,2.7,0.4,-4.9,6.20%,14.30%,16.00%,50.30%,4.50%,2003
Donyell Marshall,TOR,31,6-9,230,Connecticut,USA,1994,1,4,82,14.7,9.9,1.5,-2.3,7.30%,20.40%,19.20%,54.80%,7.50%,2003
Doug Christie,SAC,34,6-6,205,Pepperdine,USA,1992,1,17,82,10.1,4,4.2,6.7,2.60%,9.30%,14.70%,54.40%,17.80%,2003
Doug Overton,LAC,34,6-3,190,La Salle,USA,1991,2,40,61,3.7,1.4,2.3,-4.6,1.60%,6.70%,13.50%,43.30%,21.50%,2003
Drew Gooden,ORL,22,6-10,242,Kansas,USA,2002,1,4,79,11.6,6.5,1.1,-12,7.20%,17.50%,22.40%,48.40%,7.60%,2003
Dwyane Wade,MIA,22,6-4,212,Marquette,USA,2003,1,5,61,16.2,4,4.5,2.2,4.00%,7.80%,24.20%,53.00%,24.10%,2003
Earl Boykins,DEN,28,5-5,133,Eastern Michigan,USA,Undrafted,Undrafted,Undrafted,82,10.2,1.7,3.6,-0.1,2.20%,5.50%,21.90%,50.10%,28.50%,2003
Earl Watson,MEM,25,6-1,190,UCLA,USA,2001,2,39,81,5.7,2.2,5,6.5,3.00%,7.90%,18.10%,43.80%,39.30%,2003
Eddie Gill,POR,25,6-0,190,Weber State,USA,Undrafted,Undrafted,Undrafted,22,2.3,0.8,0.7,-10.2,3.20%,9.60%,17.60%,55.80%,21.90%,2003
Eddie House,LAC,26,6-1,175,Arizona State,USA,2000,2,37,60,6.8,2.3,2.5,-8.6,2.30%,9.80%,19.80%,43.60%,22.80%,2003
Eddie Jones,MIA,32,6-6,200,Temple,USA,1994,1,10,81,17.3,3.8,3.2,1.5,1.30%,9.50%,21.90%,53.80%,16.00%,2003
Eddie Robinson,CHI,28,6-9,210,Central Oklahoma,USA,Undrafted,Undrafted,Undrafted,51,6.7,2,1.1,-3.2,2.60%,7.40%,16.80%,49.70%,9.70%,2003
Eddy Curry,CHI,21,6-11,285,None,USA,2001,1,4,73,14.7,6.2,0.9,-6.3,6.70%,13.80%,24.40%,53.80%,6.10%,2003
Eduardo Najera,DAL,27,6-8,235,Oklahoma,Mexico,2000,2,38,58,3,2.7,0.4,3.8,8.50%,12.20%,12.50%,48.30%,5.10%,2003
Elden Campbell,DET,35,7-0,279,Clemson,USA,1990,1,27,65,5.6,3.2,0.7,4.9,6.30%,17.80%,22.60%,49.00%,8.90%,2003
Elton Brand,LAC,25,6-8,265,Duke,USA,1999,1,1,69,20,10.3,3.3,-4.4,10.10%,17.00%,23.00%,56.70%,15.70%,2003
Eric Piatkowski,HOU,33,6-7,215,Nebraska,USA,1994,1,15,49,4.1,1.5,0.5,-1.7,1.40%,8.90%,15.00%,50.70%,6.90%,2003
